Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
Approaching Target,0.81,0.86,0.79
Exceeding Target,0.89,0.94,0.86
Exceeding Target,0.84,0.74,0.76
Meeting Target,0.85,0.82,0.78
Approaching Target,0.73,0.69,0.78
Exceeding Target,0.88,0.85,0.75
Exceeding Target,0.86,0.88,0.8
Meeting Target,0.87,0.75,0.77
Exceeding Target,0.9,0.86,0.83
Exceeding Target,0.92,0.89,0.87
Exceeding Target,0.71,0.64,0.73
Meeting Target,0.83,0.71,0.73
Meeting Target,0.99,0.92,0.98
Meeting Target,0.89,0.85,0.9
Meeting Target,0.85,0.71,0.75
Exceeding Target,0.92,0.92,0.86
Approaching Target,0.81,0.76,0.68
Approaching Target,0.82,0.74,0.75
Meeting Target,0.9,0.91,0.8
Meeting Target,0.8,0.77,0.79
Approaching Target,0.83,0.86,0.8
Exceeding Target,0.91,0.83,0.79
Not Meeting Target,0.7,0.7,0.76
Meeting Target,0.74,0.61,0.73
Approaching Target,0.82,0.73,0.71
Meeting Target,0.85,0.81,0.73
Meeting Target,0.84,0.81,0.69
Exceeding Target,0.89,0.83,0.83
Meeting Target,0.81,0.79,0.79
Approaching Target,0.85,0.84,0.76
Approaching Target,0.75,0.69,0.63
Exceeding Target,0.85,0.87,0.7
Meeting Target,0.79,0.69,0.66
Meeting Target,0.78,0.8,0.72
Approaching Target,0.8,0.84,0.77
Meeting Target,0.84,0.88,0.73
Meeting Target,0.85,0.84,0.75
Meeting Target,0.79,0.81,0.78
Approaching Target,0.85,0.86,0.73
Meeting Target,0.86,0.9,0.74
Exceeding Target,0.85,0.82,0.79
Exceeding Target,0.75,0.72,0.73
Approaching Target,0.85,0.85,0.78
Exceeding Target,0.84,0.84,0.8
Meeting Target,0.67,0.68,0.66
Meeting Target,0.7,0.68,0.69
Exceeding Target,0.9,0.91,0.83
Approaching Target,0.81,0.81,0.71
Meeting Target,0.8,0.72,0.65
Approaching Target,0.77,0.85,0.66
Meeting Target,0.94,0.94,0.9
Exceeding Target,0.9,0.93,0.82
Approaching Target,0.8,0.77,0.75
Meeting Target,0.85,0.88,0.78
Exceeding Target,0.91,0.91,0.88
Exceeding Target,0.87,0.85,0.75
Meeting Target,0.9,0.92,0.88
Meeting Target,0.79,0.79,0.68
Meeting Target,0.89,0.92,0.9
Meeting Target,0.92,0.96,0.89
Meeting Target,0.84,0.74,0.78
Meeting Target,0.82,0.83,0.82
Meeting Target,0.71,0.69,0.73
Meeting Target,0.69,0.53,0.62
Meeting Target,0.87,0.78,0.69
Meeting Target,0.95,0.93,0.88
Approaching Target,0.85,0.85,0.65
Meeting Target,0.85,0.84,0.79
Meeting Target,0.66,0.68,0.55
Meeting Target,0.89,0.84,0.82
Meeting Target,0.88,0.84,0.83
Meeting Target,0.78,0.73,0.65
Approaching Target,0.7,0.69,0.61
Approaching Target,0.64,0.69,0.65
Meeting Target,0.84,0.75,0.73
Meeting Target,0.89,0.9,0.85
Meeting Target,0.69,0.75,0.65
Meeting Target,0.86,0.87,0.83
Exceeding Target,0.94,0.92,0.73
Meeting Target,0.69,0.66,0.62
Meeting Target,0.85,0.89,0.72
Approaching Target,0.71,0.57,0.67
Meeting Target,0.73,0.74,0.63
Approaching Target,0.57,0.6,0.59
Meeting Target,0.87,0.82,0.76
Meeting Target,0.81,0.72,0.7
Meeting Target,0.88,0.86,0.74
Meeting Target,0.82,0.77,0.86
Meeting Target,0.78,0.8,0.75
Approaching Target,0.8,0.79,0.75
Meeting Target,0.82,0.73,0.81
Meeting Target,0.87,0.8,0.78
Meeting Target,0.77,0.81,0.72
Exceeding Target,0.87,0.87,0.79
Approaching Target,0.76,0.74,0.7
Approaching Target,0.81,0.82,0.79
Exceeding Target,0.91,0.87,0.8
Approaching Target,0.8,0.78,0.7
Approaching Target,0.74,0.76,0.65
Meeting Target,0.7,0.68,0.63
Meeting Target,0.81,0.75,0.71
Approaching Target,0.78,0.72,0.71
Approaching Target,0.74,0.71,0.67
Meeting Target,0.76,0.7,0.68
Exceeding Target,0.91,0.88,0.8
Approaching Target,0.66,0.69,0.52
Approaching Target,0.77,0.63,0.7
Meeting Target,0.7,0.63,0.69
Meeting Target,0.79,0.75,0.75
Exceeding Target,0.87,0.92,0.8
Exceeding Target,0.81,0.82,0.74
Meeting Target,0.74,0.74,0.75
Approaching Target,0.73,0.69,0.65
Approaching Target,0.68,0.56,0.7
Approaching Target,0.7,0.65,0.63
Meeting Target,0.77,0.58,0.68
Meeting Target,0.85,0.81,0.77
Exceeding Target,0.8,0.76,0.7
Exceeding Target,0.91,0.93,0.81
Approaching Target,0.75,0.66,0.65
Meeting Target,0.74,0.72,0.67
Approaching Target,0.87,0.92,0.71
Approaching Target,0.66,0.51,0.67
Exceeding Target,0.89,0.88,0.72
Approaching Target,0.87,0.89,0.79
Approaching Target,0.81,0.78,0.67
Meeting Target,0.84,0.87,0.78
Exceeding Target,0.75,0.77,0.69
Meeting Target,0.75,0.75,0.75
Approaching Target,0.86,0.89,0.77
Exceeding Target,0.93,0.94,0.91
Meeting Target,0.76,0.74,0.67
Exceeding Target,0.84,0.7,0.68
Exceeding Target,0.83,0.92,0.68
Exceeding Target,0.95,0.93,0.81
Exceeding Target,0.92,0.89,0.91
Exceeding Target,0.85,0.86,0.81
Meeting Target,0.81,0.82,0.77
Exceeding Target,0.81,0.74,0.71
Meeting Target,0.75,0.64,0.66
Approaching Target,0.86,0.92,0.78
Meeting Target,0.56,0.6,0.71
Exceeding Target,0.89,0.89,0.81
Meeting Target,0.77,0.7,0.69
Exceeding Target,0.92,0.92,0.79
Meeting Target,0.87,0.78,0.7
Approaching Target,0.77,0.72,0.7
Approaching Target,0.81,0.79,0.82
Approaching Target,0.84,0.84,0.79
Exceeding Target,0.93,0.94,0.85
Approaching Target,0.86,0.86,0.78
Meeting Target,0.87,0.78,0.74
Exceeding Target,0.93,0.93,0.91
Approaching Target,0.79,0.72,0.68
Exceeding Target,0.96,0.95,0.9
Meeting Target,0.8,0.79,0.73
Approaching Target,0.77,0.73,0.73
Meeting Target,0.64,0.65,0.82
Meeting Target,0.76,0.66,0.7
Exceeding Target,0.81,0.78,0.69
Meeting Target,0.97,0.98,0.94
Meeting Target,0.85,0.81,0.73
Meeting Target,0.73,0.8,0.72
Meeting Target,0.76,0.71,0.6
Meeting Target,0.74,0.69,0.64
Meeting Target,0.92,0.92,0.8
Meeting Target,0.86,0.8,0.66
Exceeding Target,0.89,0.82,0.82
Approaching Target,0.74,0.77,0.76
Meeting Target,0.75,0.71,0.7
Meeting Target,0.82,0.81,0.79
Meeting Target,0.92,0.88,0.95
Exceeding Target,0.96,0.96,0.89
Approaching Target,0.76,0.74,0.72
Meeting Target,0.9,0.88,0.79
Meeting Target,0.77,0.69,0.69
Meeting Target,0.86,0.82,0.82
Meeting Target,0.9,0.9,0.74
Approaching Target,0.86,0.85,0.75
Meeting Target,0.87,0.91,0.83
Meeting Target,0.9,0.85,0.74
Approaching Target,0.88,0.91,0.81
Approaching Target,0.86,0.86,0.82
Meeting Target,0.86,0.88,0.76
Meeting Target,0.77,0.78,0.69
Approaching Target,0.91,0.87,0.78
Approaching Target,0.8,0.76,0.76
Approaching Target,0.72,0.65,0.69
Meeting Target,0.78,0.72,0.72
Meeting Target,0.82,0.78,0.71
Meeting Target,0.87,0.85,0.77
Approaching Target,0.62,0.67,0.66
Meeting Target,0.81,0.74,0.73
Approaching Target,0.91,0.9,0.8
Approaching Target,0.66,0.67,0.58
Meeting Target,0.97,0.9,0.91
Meeting Target,0.7,0.63,0.59
Approaching Target,0.54,0.63,0.7
Approaching Target,0.87,0.87,0.82
Meeting Target,0.87,0.84,0.76
Meeting Target,0.76,0.74,0.65
Meeting Target,0.81,0.73,0.72
Meeting Target,0.9,0.88,0.8
Meeting Target,0.84,0.8,0.8
Approaching Target,0.86,0.86,0.82
Exceeding Target,0.79,0.81,0.76
Meeting Target,0.9,0.89,0.85
Meeting Target,0.77,0.73,0.74
Approaching Target,0.5,0.61,0.62
Approaching Target,0.87,0.86,0.81
Approaching Target,0.66,0.69,0.71
Meeting Target,0.82,0.78,0.73
Meeting Target,0.87,0.92,0.78
Meeting Target,0.81,0.83,0.67
Approaching Target,0.84,0.82,0.77
Exceeding Target,0.95,0.94,0.83
Approaching Target,0.94,0.95,0.81
Approaching Target,0.83,0.77,0.72
Meeting Target,0.84,0.9,0.7
Exceeding Target,0.84,0.78,0.71
Meeting Target,0.84,0.84,0.69
Meeting Target,0.86,0.79,0.74
Approaching Target,0.71,0.69,0.62
Approaching Target,0.79,0.73,0.66
Meeting Target,0.88,0.9,0.8
Approaching Target,0.78,0.72,0.67
Approaching Target,0.85,0.75,0.7
Meeting Target,0.89,0.89,0.79
Meeting Target,0.79,0.88,0.79
Meeting Target,0.9,0.86,0.75
Meeting Target,0.91,0.9,0.8
Approaching Target,0.78,0.66,0.7
Meeting Target,0.75,0.78,0.75
Meeting Target,0.85,0.83,0.74
Approaching Target,0.7,0.74,0.67
Meeting Target,0.46,0.51,0.52
Approaching Target,0.93,0.88,0.84
Meeting Target,0.77,0.78,0.67
Approaching Target,0.88,0.72,0.77
Meeting Target,0.78,0.75,0.72
Meeting Target,0.69,0.66,0.56
Approaching Target,0.76,0.76,0.64
Meeting Target,0.76,0.82,0.64
Exceeding Target,0.87,0.86,0.8
Approaching Target,0.66,0.68,0.59
Meeting Target,0.87,0.83,0.77
Meeting Target,0.87,0.84,0.7
Approaching Target,0.6,0.68,0.64
Approaching Target,0.73,0.67,0.69
Meeting Target,0.77,0.74,0.75
Approaching Target,0.74,0.74,0.67
Approaching Target,0.7,0.72,0.68
Approaching Target,0.62,0.55,0.63
Meeting Target,0.74,0.73,0.75
Meeting Target,0.88,0.81,0.81
Meeting Target,0.8,0.8,0.63
Meeting Target,0.64,0.44,0.57
Approaching Target,0.74,0.8,0.71
Approaching Target,0.89,0.85,0.78
Meeting Target,0.79,0.81,0.75
Approaching Target,0.82,0.77,0.72
Meeting Target,0.81,0.88,0.89
Approaching Target,0.71,0.68,0.66
Meeting Target,0.79,0.78,0.75
Approaching Target,0.74,0.78,0.7
Meeting Target,0.87,0.83,0.74
Meeting Target,0.86,0.8,0.74
Meeting Target,0.93,0.93,0.93
Approaching Target,0.82,0.88,0.76
Meeting Target,0.85,0.76,0.77
Meeting Target,0.9,0.88,0.68
Approaching Target,0.84,0.85,0.82
Exceeding Target,0.88,0.87,0.86
Exceeding Target,0.91,0.88,0.77
Approaching Target,0.83,0.83,0.76
Exceeding Target,0.86,0.87,0.8
Not Meeting Target,0.74,0.81,0.61
Meeting Target,0.87,0.89,0.86
Meeting Target,0.87,0.89,0.78
Meeting Target,0.79,0.8,0.73
Meeting Target,0.85,0.81,0.72
Approaching Target,0.83,0.85,0.79
Meeting Target,0.72,0.74,0.67
Meeting Target,0.9,0.81,0.74
Approaching Target,0.82,0.89,0.71
Meeting Target,0.75,0.63,0.59
Meeting Target,0.74,0.79,0.66
Approaching Target,0.92,0.87,0.91
Meeting Target,0.85,0.77,0.73
Approaching Target,0.66,0.53,0.57
Approaching Target,0.86,0.71,0.72
Meeting Target,0.74,0.92,0.75
Approaching Target,0.69,0.8,0.71
Meeting Target,0.9,0.89,0.83
Approaching Target,0.77,0.76,0.68
