Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
3,0.69,0.53,0.62
3,0.87,0.78,0.69
3,0.95,0.93,0.88
2,0.85,0.85,0.65
3,0.85,0.84,0.79
3,0.66,0.68,0.55
3,0.89,0.84,0.82
3,0.88,0.84,0.83
3,0.78,0.73,0.65
2,0.7,0.69,0.61
2,0.64,0.69,0.65
3,0.84,0.75,0.73
3,0.89,0.9,0.85
3,0.69,0.75,0.65
3,0.86,0.87,0.83
4,0.94,0.92,0.73
3,0.69,0.66,0.62
3,0.85,0.89,0.72
2,0.71,0.57,0.67
3,0.73,0.74,0.63
2,0.57,0.6,0.59
3,0.87,0.82,0.76
3,0.81,0.72,0.7
3,0.88,0.86,0.74
3,0.82,0.77,0.86
3,0.78,0.8,0.75
2,0.8,0.79,0.75
3,0.82,0.73,0.81
3,0.87,0.8,0.78
3,0.77,0.81,0.72
4,0.87,0.87,0.79
2,0.76,0.74,0.7
2,0.81,0.82,0.79
4,0.91,0.87,0.8
2,0.8,0.78,0.7
2,0.74,0.76,0.65
3,0.7,0.68,0.63
3,0.81,0.75,0.71
2,0.78,0.72,0.71
2,0.74,0.71,0.67
3,0.76,0.7,0.68
4,0.91,0.88,0.8
2,0.66,0.69,0.52
2,0.77,0.63,0.7
3,0.7,0.63,0.69
3,0.79,0.75,0.75
4,0.87,0.92,0.8
4,0.81,0.82,0.74
3,0.74,0.74,0.75
2,0.73,0.69,0.65
2,0.68,0.56,0.7
2,0.7,0.65,0.63
3,0.77,0.58,0.68
3,0.85,0.81,0.77
4,0.8,0.76,0.7
4,0.91,0.93,0.81
2,0.75,0.66,0.65
3,0.74,0.72,0.67
2,0.87,0.92,0.71
2,0.66,0.51,0.67
4,0.89,0.88,0.72
2,0.87,0.89,0.79
2,0.81,0.78,0.67
3,0.84,0.87,0.78
4,0.75,0.77,0.69
3,0.75,0.75,0.75
2,0.86,0.89,0.77
4,0.93,0.94,0.91
3,0.76,0.74,0.67
4,0.84,0.7,0.68
4,0.83,0.92,0.68
4,0.95,0.93,0.81
4,0.92,0.89,0.91
4,0.85,0.86,0.81
3,0.81,0.82,0.77
4,0.81,0.74,0.71
3,0.75,0.64,0.66
2,0.86,0.92,0.78
3,0.56,0.6,0.71
4,0.89,0.89,0.81
3,0.77,0.7,0.69
4,0.92,0.92,0.79
3,0.87,0.78,0.7
2,0.77,0.72,0.7
2,0.81,0.79,0.82
2,0.84,0.84,0.79
4,0.93,0.94,0.85
2,0.86,0.86,0.78
3,0.87,0.78,0.74
4,0.93,0.93,0.91
2,0.79,0.72,0.68
4,0.96,0.95,0.9
3,0.8,0.79,0.73
2,0.77,0.73,0.73
3,0.64,0.65,0.82
3,0.76,0.66,0.7
4,0.81,0.78,0.69
3,0.97,0.98,0.94
3,0.85,0.81,0.73
3,0.73,0.8,0.72
3,0.76,0.71,0.6
3,0.74,0.69,0.64
3,0.92,0.92,0.8
3,0.86,0.8,0.66
4,0.89,0.82,0.82
2,0.74,0.77,0.76
3,0.75,0.71,0.7
3,0.82,0.81,0.79
3,0.92,0.88,0.95
4,0.96,0.96,0.89
2,0.76,0.74,0.72
3,0.9,0.88,0.79
3,0.77,0.69,0.69
3,0.86,0.82,0.82
3,0.9,0.9,0.74
2,0.86,0.85,0.75
3,0.87,0.91,0.83
3,0.9,0.85,0.74
2,0.88,0.91,0.81
2,0.86,0.86,0.82
3,0.86,0.88,0.76
3,0.77,0.78,0.69
2,0.91,0.87,0.78
2,0.8,0.76,0.76
2,0.72,0.65,0.69
3,0.78,0.72,0.72
3,0.82,0.78,0.71
3,0.87,0.85,0.77
2,0.62,0.67,0.66
3,0.81,0.74,0.73
2,0.91,0.9,0.8
2,0.66,0.67,0.58
3,0.97,0.9,0.91
3,0.7,0.63,0.59
2,0.54,0.63,0.7
2,0.87,0.87,0.82
3,0.87,0.84,0.76
3,0.76,0.74,0.65
3,0.81,0.73,0.72
3,0.9,0.88,0.8
3,0.84,0.8,0.8
2,0.86,0.86,0.82
4,0.79,0.81,0.76
3,0.9,0.89,0.85
3,0.77,0.73,0.74
2,0.5,0.61,0.62
2,0.87,0.86,0.81
2,0.66,0.69,0.71
3,0.82,0.78,0.73
3,0.87,0.92,0.78
3,0.81,0.83,0.67
2,0.84,0.82,0.77
4,0.95,0.94,0.83
2,0.94,0.95,0.81
2,0.83,0.77,0.72
3,0.84,0.9,0.7
4,0.84,0.78,0.71
3,0.84,0.84,0.69
3,0.86,0.79,0.74
2,0.71,0.69,0.62
2,0.79,0.73,0.66
3,0.88,0.9,0.8
2,0.78,0.72,0.67
2,0.85,0.75,0.7
3,0.89,0.89,0.79
3,0.79,0.88,0.79
3,0.9,0.86,0.75
3,0.91,0.9,0.8
2,0.78,0.66,0.7
3,0.75,0.78,0.75
3,0.85,0.83,0.74
2,0.7,0.74,0.67
3,0.46,0.51,0.52
2,0.93,0.88,0.84
3,0.77,0.78,0.67
2,0.88,0.72,0.77
3,0.78,0.75,0.72
3,0.69,0.66,0.56
2,0.76,0.76,0.64
3,0.76,0.82,0.64
4,0.87,0.86,0.8
2,0.66,0.68,0.59
3,0.87,0.83,0.77
3,0.87,0.84,0.7
2,0.6,0.68,0.64
2,0.73,0.67,0.69
3,0.77,0.74,0.75
2,0.74,0.74,0.67
2,0.7,0.72,0.68
2,0.62,0.55,0.63
3,0.74,0.73,0.75
3,0.88,0.81,0.81
3,0.8,0.8,0.63
3,0.64,0.44,0.57
2,0.74,0.8,0.71
2,0.89,0.85,0.78
3,0.79,0.81,0.75
2,0.82,0.77,0.72
3,0.81,0.88,0.89
2,0.71,0.68,0.66
3,0.79,0.78,0.75
2,0.74,0.78,0.7
3,0.87,0.83,0.74
3,0.86,0.8,0.74
3,0.93,0.93,0.93
2,0.82,0.88,0.76
3,0.85,0.76,0.77
3,0.9,0.88,0.68
2,0.84,0.85,0.82
4,0.88,0.87,0.86
4,0.91,0.88,0.77
